Unnamed: 0,year,Para-1,Para-2,Para-3,Para-4,Para-5,Para-6,Para-7,Para-8,Para-9,Para-10,Para-11,Para-12,Para-13
Sec_81,1,534.0,818.2,2.4,1267.0,25,111,2196,323,0.0,1.3,1.0,8,1.582
,2,534.0,790.9,3.2,1083.7,22,115,1917,282,0.0,3.0,1.0,8,1.646
,3,534.0,587.7,3.4,873.0,18,118,2082,306,0.0,4.1,2.0,9,1.685
,4,534.0,677.9,3.2,996.0,18,125,2279,335,0.0,12.3,2.0,11,1.729
,5,534.0,731.1,2.6,1388.8,17,114,2500,500,0.0,15.4,3.0,11,1.754
,6,534.0,782.0,2.3,1232.3,16,111,2550,600,0.0,19.8,4.0,12,1.839
,7,534.0,940.0,0.3,1820.0,23,114,2460,580,0.0,22.5,4.0,14,1.854
,8,534.0,770.5,2.9,1017.0,20,121,2660,630,1.4,24.5,6.0,15,1.882
,9,534.0,664.0,3.7,1140.1,14,117,2760,650,1.8,33.1,6.0,16,1.93
,10,534.0,616.3,3.4,843.1,19,111,2420,650,1.9,38.7,10.0,16,2.106
